song_id,artist,title,dominant_emotion,dominant_sentiment,emotion_distribution,sentiment_distribution
3134924,Sayii January,Dayless Days,fear,negative,"{'disgust': 0.1661870364928929, 'anticipation': 0.15758690278926527, 'fear': 0.1999217159081725, 'sadness': 0.09419047183576147, 'trust': 0.11920435954165734, 'anger': 0.06267391712886541, 'joy': 0.14346142290081018, 'surprise': 0.05677417340257486}","{'positive': 0.3573551676342252, 'negative': 0.6426448323657749}"
17497,DMX,Top Shotter,trust,positive,"{'fear': 0.049723908850888225, 'anger': 0.03477521997893373, 'anticipation': 0.01756698347043173, 'disgust': 0.017624943013130584, 'trust': 0.2841640593162209, 'joy': 0.271817234973128, 'sadness': 0.1315829232626768, 'surprise': 0.19274472713459012}","{'negative': 0.29937500597432193, 'positive': 0.7006249940256781}"
2971029,Gab3,Everyday,anger,negative,"{'anger': 0.24375196627948326, 'anticipation': 0.08985550663294889, 'joy': 0.08985550663294889, 'surprise': 0.06967319216745871, 'trust': 0.06967319216745871, 'fear': 0.17322459722835312, 'sadness': 0.16925355434913986, 'disgust': 0.09471248454220861}","{'positive': 0.3555101152978472, 'negative': 0.6444898847021528}"
2983990,birthday,Cathedrals,sadness,positive,"{'sadness': 0.2597744165787868, 'surprise': 0.016367903855846477, 'trust': 0.022089535450025902, 'anger': 0.0952395362392632, 'disgust': 0.0952395362392632, 'fear': 0.21512608419198206, 'joy': 0.22959678045334808, 'anticipation': 0.06656620699148433}","{'negative': 0.4657724877505407, 'positive': 0.5342275122494593}"
3048693,Jessica Mauboy,Flame Trees,sadness,negative,"{'trust': 0.08901455405321396, 'anticipation': 0.18319552964783564, 'joy': 0.07862802972020587, 'fear': 0.2564694814046433, 'sadness': 0.27243130298315027, 'anger': 0.055173309988204064, 'disgust': 0.055173309988204064, 'surprise': 0.009914482214542816}","{'positive': 0.29494217733756695, 'negative': 0.7050578226624331}"
5004086,Tory Lanez,The Fargo Splash,anger,negative,"{'joy': 0.07635918082295935, 'anger': 0.3088516529213027, 'disgust': 0.18061738314462997, 'trust': 0.2552673665594978, 'fear': 0.04050958996166477, 'sadness': 0.042364426257112044, 'anticipation': 0.07356141601135105, 'surprise': 0.022468984321482248}","{'negative': 0.5275015967184744, 'positive': 0.4724984032815256}"
4031757,Zeven,Elevate,trust,positive,"{'trust': 0.2716417840193627, 'anger': 0.24665331490168974, 'surprise': 0.018325513738637132, 'disgust': 0.15529172676151365, 'sadness': 0.05329724805454047, 'anticipation': 0.14145865280780032, 'fear': 0.06969698805590073, 'joy': 0.04363477166055528}","{'positive': 0.5398286344235859, 'negative': 0.46017136557641414}"
3333956,Jaill (Band),Thank Us Later,anger,negative,"{'joy': 0.06674334034234243, 'disgust': 0.2198917363001809, 'anticipation': 0.12247264564927964, 'fear': 0.2324185137993701, 'anger': 0.24852789575873643, 'sadness': 0.10994586815009046}","{'positive': 0.2573121711607895, 'negative': 0.7426878288392105}"
2117599,Fitz and The Tantrums,Moneygrabber - french,trust,positive,"{'joy': 0.24977691939317104, 'trust': 0.25166006839385896, 'anticipation': 0.22153789662321344, 'anger': 0.1341397359648624, 'surprise': 0.13203843847734345, 'sadness': 0.005376769714823146, 'fear': 0.0012132539897561966, 'disgust': 0.00425691744297147}","{'positive': 0.9685807552829478, 'negative': 0.0314192447170521}"
4398725,Detroit L-O,Im Comin,trust,positive,"{'anger': 0.13871871179575568, 'anticipation': 0.22142062052338174, 'joy': 0.22051550075142295, 'surprise': 0.13603607883198982, 'trust': 0.222159980169577, 'fear': 0.02218889560145918, 'sadness': 0.02569604340235538, 'disgust': 0.013264168924058291}","{'positive': 0.8732456149666802, 'negative': 0.1267543850333199}"
